,0,1,2,3
93,-39.0625,-26.85546875,-24.90234375,-10.25390625
94,-31.25,-24.90234375,-28.3203125,-12.6953125
95,-30.2734375,-28.3203125,-26.85546875,-31.25
96,-35.15625,-31.73828125,-25.390625,-34.66796875
97,-33.203125,-28.3203125,-28.80859375,-12.20703125
98,-22.4609375,-28.3203125,-24.4140625,3.90625
99,-22.4609375,-31.73828125,-19.04296875,-12.6953125
100,-23.92578125,-33.69140625,-18.06640625,-40.52734375
101,-27.83203125,-38.0859375,-18.06640625,-50.29296875
102,-28.3203125,-38.0859375,-23.4375,-37.59765625
103,-29.78515625,-30.76171875,-25.390625,-25.87890625
104,-29.296875,-33.69140625,-23.4375,-31.73828125
105,-29.296875,-36.1328125,-28.80859375,-45.41015625
106,-33.69140625,-33.203125,-36.1328125,-45.41015625
107,-31.73828125,-30.76171875,-32.71484375,-30.76171875
108,-29.296875,-30.76171875,-29.296875,-19.53125
109,-30.2734375,-33.69140625,-27.83203125,-18.06640625
110,-35.15625,-33.69140625,-22.4609375,-29.296875
111,-41.015625,-32.71484375,-22.94921875,-41.015625
112,-41.015625,-34.66796875,-25.390625,-31.25
113,-37.59765625,-35.64453125,-25.390625,-11.71875
114,-30.76171875,-31.73828125,-25.390625,-14.16015625
115,-30.2734375,-30.76171875,-26.3671875,-39.0625
116,-36.62109375,-27.34375,-26.85546875,-44.921875
117,-37.109375,-29.296875,-26.3671875,-31.25
118,-33.203125,-32.2265625,-27.83203125,-21.97265625
119,-28.3203125,-26.85546875,-24.4140625,-20.01953125
120,-25.390625,-25.390625,-23.92578125,-25.390625
121,-27.83203125,-27.83203125,-28.80859375,-32.71484375
122,-24.90234375,-26.85546875,-26.3671875,-33.203125
123,-20.5078125,-26.3671875,-27.83203125,-15.625
124,-20.01953125,-22.4609375,-27.83203125,-5.37109375
125,-23.92578125,-20.99609375,-19.04296875,-22.4609375
126,-26.85546875,-22.4609375,-18.5546875,-37.59765625
127,-28.80859375,-23.92578125,-20.99609375,-32.2265625
128,-35.15625,-20.99609375,-20.5078125,-19.04296875
129,-28.3203125,-20.01953125,-24.4140625,-18.06640625
130,-16.11328125,-22.4609375,-22.94921875,-30.2734375
131,-15.625,-22.4609375,-20.99609375,-45.41015625
132,-25.87890625,-27.34375,-25.390625,-45.8984375
133,-28.3203125,-33.203125,-24.4140625,-32.71484375
134,-24.4140625,-36.1328125,-23.4375,-27.34375
135,-27.83203125,-36.62109375,-27.34375,-39.0625
136,-35.15625,-34.66796875,-29.296875,-51.26953125
137,-41.9921875,-30.76171875,-25.390625,-42.48046875
138,-41.50390625,-30.76171875,-25.87890625,-25.87890625
139,-33.69140625,-28.80859375,-33.203125,-13.671875
140,-29.78515625,-26.85546875,-32.2265625,-16.11328125
141,-32.71484375,-32.71484375,-30.2734375,-30.76171875
142,-38.0859375,-35.15625,-30.2734375,-36.1328125
143,-38.0859375,-31.25,-31.73828125,-29.296875
144,-35.15625,-32.71484375,-38.57421875,-14.6484375
145,-35.64453125,-34.1796875,-38.57421875,-16.6015625
146,-40.0390625,-32.2265625,-33.69140625,-36.1328125
147,-41.015625,-32.71484375,-33.69140625,-37.109375
148,-38.0859375,-29.296875,-39.0625,-29.78515625
